player,cricinfo_id,team,season,competition,match_id,custom_match_id,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Rafiullah,1174143,Oman,2024,ICC Men's T20 World Cup,1415720,ICCMTWC_OMA_SCOT_2024-06-09,-7.058,-2.353,-7.058,-2.353,0,0,0,3,0,3,0,3,0,1,0,0,0,0,0,NA,NA,0,0,3,NA,0,0,NA,1,0,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Ravindra Jadeja,234675,India,2024,ICC Men's T20 World Cup,1415719,ICCMTWC_IND_PAK_2024-06-09,-0.916,-0.07,-4.081,-4.081,3.165,0.264,0,1,0,1,0,1,0,1,0,10,12,1,5,5,Inf,0,0,13,0.083,0,0,0.417,1,0,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316600.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316600.png,https://www.espncricinfo.com/db/PICTURES/CMS/302300/302394.jpg
Richie Berrington,25490,Scotland,2024,ICC Men's T20 World Cup,1415720,ICCMTWC_OMA_SCOT_2024-06-09,1.528,0.218,1.528,0.218,0,0,13,7,2,4,1,5,3,1,0,0,0,0,0,NA,NA,1.857,13,7,NA,0.286,0.143,NA,0.571,0.6,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316587.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316587.png,https://www.espncricinfo.com/db/PICTURES/CMS/172800/172885.1.jpg
Rishabh Pant,931581,India,2024,ICC Men's T20 World Cup,1415719,ICCMTWC_IND_PAK_2024-06-09,5.202,0.168,5.202,0.168,0,0,42,31,6,11,0,28,18,1,0,0,0,0,0,NA,NA,1.355,42,31,NA,0.194,0,NA,0.355,0.643,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/323000/323036.png,https://www.espncricinfo.com/db/PICTURES/CMS/323000/323036.png,https://www.espncricinfo.com/db/PICTURES/CMS/304200/304221.png
Rohit Sharma,34102,India,2024,ICC Men's T20 World Cup,1415719,ICCMTWC_IND_PAK_2024-06-09,-14.524,-1.21,-14.524,-1.21,0,0,13,12,2,8,1,10,3,1,0,0,0,0,0,NA,NA,1.083,13,12,NA,0.167,0.083,NA,0.667,0.3,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316584.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316584.png,https://www.espncricinfo.com/db/PICTURES/CMS/302300/302374.jpg
Safyaan Sharif,414970,Scotland,2024,ICC Men's T20 World Cup,1415720,ICCMTWC_OMA_SCOT_2024-06-09,-9.696,-0.404,0,0,-9.696,-0.404,0,0,0,0,0,0,0,0,2,41,24,6,5,10.25,20.5,NA,NA,24,0.25,NA,NA,0.208,NA,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316679.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316679.png,https://www.espncricinfo.com/db/PICTURES/CMS/172800/172867.1.jpg
Shadab Khan,922943,Pakistan,2024,ICC Men's T20 World Cup,1415719,ICCMTWC_IND_PAK_2024-06-09,-6.175,-0.882,-6.175,-0.882,0,0,4,7,0,4,0,7,4,1,0,0,0,0,0,NA,NA,0.571,4,7,NA,0,0,NA,0.571,0.571,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320467.png,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320467.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302825.jpg
Shaheen Shah Afridi,1072470,Pakistan,2024,ICC Men's T20 World Cup,1415719,ICCMTWC_IND_PAK_2024-06-09,18.648,0.717,-0.121,-0.121,18.769,0.751,0,1,0,0,0,1,0,0,2,29,25,3,14,6.96,14.5,0,NA,26,0.12,0,0,0.56,0,0,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/322200/322250.png,https://www.espncricinfo.com/db/PICTURES/CMS/322200/322250.png,https://www.espncricinfo.com/db/PICTURES/CMS/312100/312180.jpg
Shakeel Ahmed,681801,Oman,2024,ICC Men's T20 World Cup,1415720,ICCMTWC_OMA_SCOT_2024-06-09,-8.964,-0.64,0.709,0.354,-9.673,-0.806,3,2,0,0,0,2,3,0,0,25,12,4,4,12.5,Inf,1.5,Inf,14,0.333,0,0,0.333,0,1.5,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,NA,NA,NA
Shivam Dube,714451,India,2024,ICC Men's T20 World Cup,1415719,ICCMTWC_IND_PAK_2024-06-09,-13.003,-1.445,-13.003,-1.445,0,0,3,9,0,6,0,9,3,1,0,0,0,0,0,NA,NA,0.333,3,9,NA,0,0,NA,0.667,0.333,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/322700/322703.png,https://www.espncricinfo.com/db/PICTURES/CMS/322700/322703.png,https://www.espncricinfo.com/db/PICTURES/CMS/356700/356768.1.png
