player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Mohammad Amir,290948,Jamaica Tallawahs,2023,Caribbean Premier League,46.534,0.223,-1.959,-0.49,48.493,0.237,5,4,1,2,0,3,1,3,17,230,205,30,98,6.732,13.529,1.25,1.667,209,0.146,0.25,0,0.478,0.5,0.333,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320457.png,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320457.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302820.jpg
Nicholas Pooran,604302,Trinbago Knight Riders,2023,Caribbean Premier League,59.314,0.324,59.314,0.324,0,0,291,183,43,71,20,156,78,9,NA,NA,0,NA,NA,NA,NA,1.59,32.333,183,NA,0.235,0.109,NA,0.388,0.5,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320109.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320109.png,https://www.espncricinfo.com/db/PICTURES/CMS/302200/302286.jpg
Nicholson Gordon,431910,Jamaica Tallawahs,2023,Caribbean Premier League,-36.84,-0.304,-9.427,-2.357,-27.413,-0.234,0,4,0,4,0,4,0,2,4,177,117,21,28,9.077,44.25,0,0,121,0.179,0,0,0.239,1,0,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/232700/232767.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/232700/232767.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/232700/232767.jpg
Nyeem Young,1108830,Barbados Royals,2023,Caribbean Premier League,-80.295,-0.394,-26.338,-0.306,-53.958,-0.457,76,86,6,44,5,85,42,4,2,193,118,21,29,9.814,96.5,0.884,19,204,0.178,0.07,0.058,0.246,0.512,0.494,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326125.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326125.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326126.4.jpg
Obed McCoy,906783,Barbados Royals,2023,Caribbean Premier League,-98.985,-0.478,-10.024,-0.627,-88.96,-0.466,9,16,1,9,0,15,5,2,7,315,191,39,57,9.895,45,0.562,4.5,207,0.204,0.062,0,0.298,0.562,0.333,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322031.png,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322031.png,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322031.png
Odean Smith,820691,Guyana Amazon Warriors,2023,Caribbean Premier League,-46.115,-0.229,11.189,0.16,-57.304,-0.437,89,70,15,32,4,59,21,4,6,221,131,30,35,10.122,36.833,1.271,22.25,201,0.229,0.214,0.057,0.267,0.457,0.356,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/351800/351853.png,https://www.espncricinfo.com/db/PICTURES/CMS/351800/351853.png,https://www.espncricinfo.com/db/PICTURES/CMS/348100/348147.4.jpg
Oshane Thomas,914567,St Kitts and Nevis Patriots,2023,Caribbean Premier League,-9.377,-0.052,-12.402,-1.24,3.025,0.018,4,10,0,6,0,10,4,2,11,221,170,26,62,7.8,20.091,0.4,2,180,0.153,0,0,0.365,0.6,0.4,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322032.png,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322032.png,https://www.espncricinfo.com/db/PICTURES/CMS/307600/307607.jpg
Peter Hatzoglou,1191384,St Lucia Kings,2023,Caribbean Premier League,-5.041,-0.035,2.106,0.301,-7.146,-0.051,10,7,1,1,0,6,6,NA,3,169,139,18,53,7.295,56.333,1.429,NA,146,0.129,0.143,0,0.381,0.143,1,NA,NA,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Qais Ahmad,914171,Barbados Royals,2023,Caribbean Premier League,-22.431,-0.099,-10.179,-0.318,-12.251,-0.063,28,32,2,17,2,31,16,1,8,274,195,29,61,8.431,34.25,0.875,28,227,0.149,0.062,0.062,0.313,0.531,0.516,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321300/321329.png,https://www.espncricinfo.com/db/PICTURES/CMS/321300/321329.png,https://www.espncricinfo.com/db/PICTURES/CMS/296500/296532.1.jpg
Rahkeem Cornwall,494581,Barbados Royals,2023,Caribbean Premier League,-15.69,-0.075,45.088,0.406,-60.778,-0.614,193,111,32,54,20,84,25,9,6,176,99,23,29,10.667,29.333,1.739,21.444,210,0.232,0.288,0.18,0.293,0.486,0.298,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322033.png,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322033.png,https://www.espncricinfo.com/db/PICTURES/CMS/316100/316114.png
Raymon Reifer,450101,Jamaica Tallawahs,2023,Caribbean Premier League,-37.64,-0.182,-28.765,-0.203,-8.875,-0.137,146,142,15,51,3,132,80,6,2,96,65,12,18,8.862,48,1.028,24.333,207,0.185,0.106,0.021,0.277,0.359,0.606,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322036.png,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322036.png,https://www.espncricinfo.com/db/PICTURES/CMS/305900/305914.1.jpg
Rivaldo Clarke,1275938,Barbados Royals,2023,Caribbean Premier League,-4.034,-0.072,-4.034,-0.072,0,0,58,56,9,28,0,51,21,1,NA,NA,0,NA,NA,NA,NA,1.036,58,56,NA,0.161,0,NA,0.5,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roelof van der Merwe,47850,Barbados Royals,2023,Caribbean Premier League,-22.995,-0.195,0.012,0,-23.007,-0.247,35,25,4,7,1,21,17,2,5,147,93,20,28,9.484,29.4,1.4,17.5,118,0.215,0.16,0.04,0.301,0.28,0.81,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322500/322596.png,https://www.espncricinfo.com/db/PICTURES/CMS/322500/322596.png,https://www.espncricinfo.com/db/PICTURES/CMS/217400/217463.1.jpg
